9,000;0,000
8.88919506535624;-1.40791018536208
8.55950864665638;-2.78115294937453
8.01905871769531;-4.08591449765592
7.28115294937453;-5.29006727063226
6.36396103067893;-6.36396103067893
5.29006727063226;-7.28115294937453
4.08591449765592;-8.01905871769531
2.78115294937453;-8.55950864665638
1.40791018536208;-8.88919506535624
0.0;-9,000
-1.40791018536208;-8.88919506535624
-2.78115294937453;-8.55950864665638
-4.08591449765592;-8.01905871769531
-5.29006727063226;-7.28115294937453
-6.36396103067893;-6.36396103067893
-7.28115294937453;-5.29006727063226
-8.01905871769531;-4.08591449765592
-8.55950864665638;-2.78115294937453
-8.88919506535624;-1.40791018536208
-9,000;-0.0
-8.88919506535624;1.40791018536208
-8.55950864665638;2.78115294937453
-8.01905871769531;4.08591449765592
-7.28115294937453;5.29006727063226
-6.36396103067893;6.36396103067893
-5.29006727063226;7.28115294937453
-4.08591449765592;8.01905871769531
-2.78115294937453;8.55950864665638
-1.40791018536208;8.88919506535624
-0.0;9.0
1.40791018536208;8.88919506535624
2.78115294937453;8.55950864665638
4.08591449765592;8.01905871769531
5.29006727063226;7.28115294937453
6.36396103067893;6.36396103067893
7.28115294937453;5.29006727063226
8.01905871769531;4.08591449765592
8.55950864665638;2.78115294937453
8.88919506535624;1.40791018536208
9,000;0,000
